Ticks,Energy,Damage 
1 , 1200 , 0 
2 , 1199 , 0 
3 , 1198 , 0 
4 , 1197 , 0 
5 , 1196 , 0 
6 , 1195 , 0 
7 , 1194 , 0 
8 , 1193 , 0 
9 , 1192 , 0 
10 , 1191 , 0 
11 , 1190 , 0 
12 , 1189 , 0 
13 , 1188 , 0 
14 , 1187 , 0 
15 , 1186 , 0 
16 , 1185 , 0 
17 , 1184 , 0 
18 , 1183 , 0 
19 , 1182 , 0 
20 , 1181 , 0 
21 , 1180 , 0 
22 , 1179 , 0 
23 , 1178 , 0 
24 , 1177 , 0 
25 , 1176 , 0 
26 , 1175 , 0 
27 , 1174 , 0 
28 , 1173 , 0 
29 , 1172 , 0 
30 , 1171 , 0 
31 , 1170 , 0 
32 , 1169 , 0 
33 , 1168 , 0 
34 , 1167 , 0 
35 , 1166 , 0 
36 , 1165 , 0 
37 , 1164 , 0 
38 , 1163 , 0 
39 , 1162 , 0 
40 , 1161 , 0 
41 , 1160 , 0 
42 , 1159 , 0 
43 , 1158 , 0 
44 , 1157 , 0 
45 , 1156 , 0 
46 , 1155 , 0 
47 , 1154 , 0 
48 , 1153 , 0 
49 , 1152 , 0 
50 , 1151 , 0 
51 , 1150 , 0 
52 , 1149 , 0 
53 , 1148 , 0 
54 , 1147 , 0 
55 , 1146 , 0 
56 , 1145 , 0 
57 , 1144 , 0 
58 , 1143 , 0 
59 , 1142 , 0 
60 , 1141 , 0 
61 , 1140 , 0 
62 , 1139 , 0 
63 , 1138 , 0 
64 , 1137 , 0 
65 , 1136 , 0 
66 , 1135 , 0 
67 , 1134 , 0 
68 , 1133 , 0 
69 , 1132 , 0 
70 , 1131 , 10 
71 , 1130 , 20 
72 , 1129 , 30 
73 , 1128 , 40 
74 , 1127 , 50 
75 , 1126 , 60 
76 , 1125 , 70 
77 , 1124 , 80 
78 , 1123 , 90 
79 , 1122 , 100 
80 , 1121 , 110 
81 , 1120 , 120 
82 , 1119 , 120 
83 , 1118 , 130 
84 , 1117 , 130 
85 , 1116 , 130 
86 , 1115 , 130 
87 , 1114 , 130 
88 , 1113 , 130 
89 , 1112 , 130 
90 , 1111 , 130 
91 , 1110 , 130 
92 , 1109 , 130 
93 , 1108 , 130 
94 , 1107 , 130 
95 , 1106 , 140 
96 , 1105 , 140 
97 , 1104 , 140 
98 , 1103 , 140 
99 , 1102 , 150 
100 , 1101 , 150 
101 , 1100 , 150 
102 , 1099 , 150 
103 , 1098 , 150 
104 , 1097 , 150 
105 , 1096 , 150 
106 , 1095 , 150 
107 , 1094 , 150 
108 , 1093 , 150 
109 , 1092 , 150 
110 , 1091 , 150 
111 , 1090 , 150 
112 , 1089 , 150 
113 , 1088 , 150 
114 , 1087 , 150 
115 , 1086 , 150 
116 , 1085 , 150 
117 , 1084 , 150 
118 , 1083 , 150 
119 , 1082 , 150 
120 , 1081 , 150 
121 , 1080 , 150 
122 , 1079 , 150 
123 , 1078 , 150 
124 , 1077 , 150 
125 , 1076 , 150 
126 , 1075 , 150 
127 , 1074 , 150 
128 , 1073 , 150 
129 , 1072 , 150 
130 , 1071 , 150 
131 , 1070 , 150 
132 , 1069 , 150 
133 , 1068 , 150 
134 , 1067 , 150 
135 , 1066 , 150 
136 , 1065 , 150 
137 , 1064 , 150 
138 , 1063 , 150 
139 , 1062 , 150 
140 , 1061 , 150 
141 , 1060 , 150 
142 , 1059 , 150 
143 , 1058 , 150 
144 , 1057 , 150 
145 , 1056 , 150 
146 , 1055 , 150 
147 , 1054 , 150 
148 , 1053 , 150 
149 , 1052 , 150 
150 , 1051 , 150 
151 , 1050 , 150 
152 , 1049 , 150 
153 , 1048 , 150 
154 , 1047 , 150 
155 , 1046 , 150 
156 , 1045 , 150 
157 , 1044 , 150 
158 , 1043 , 150 
159 , 1042 , 150 
160 , 1041 , 150 
161 , 1040 , 150 
162 , 1039 , 150 
163 , 1038 , 150 
164 , 1037 , 150 
165 , 1036 , 150 
166 , 1035 , 150 
167 , 1034 , 150 
168 , 1033 , 150 
169 , 1032 , 150 
170 , 1031 , 150 
171 , 1030 , 150 
172 , 1029 , 150 
173 , 1028 , 150 
174 , 1027 , 150 
175 , 1026 , 150 
176 , 1025 , 150 
177 , 1024 , 150 
178 , 1023 , 150 
179 , 1022 , 150 
180 , 1021 , 150 
181 , 1020 , 150 
182 , 1019 , 160 
183 , 1018 , 160 
184 , 1017 , 160 
185 , 1016 , 160 
186 , 1015 , 160 
187 , 1014 , 160 
188 , 1013 , 160 
189 , 1012 , 160 
190 , 1011 , 160 
191 , 1010 , 160 
192 , 1009 , 160 
193 , 1008 , 160 
194 , 1007 , 160 
195 , 1006 , 170 
196 , 1005 , 170 
197 , 1004 , 180 
198 , 1003 , 190 
199 , 1002 , 200 
200 , 1001 , 210 
201 , 1000 , 220 
202 , 999 , 220 
203 , 998 , 230 
204 , 997 , 240 
205 , 996 , 250 
206 , 995 , 260 
207 , 994 , 270 
208 , 993 , 270 
209 , 992 , 280 
210 , 991 , 280 
211 , 990 , 280 
212 , 989 , 280 
213 , 988 , 280 
214 , 987 , 280 
215 , 986 , 280 
216 , 985 , 280 
217 , 984 , 280 
218 , 983 , 280 
219 , 982 , 280 
220 , 981 , 280 
221 , 980 , 280 
222 , 979 , 290 
223 , 978 , 290 
224 , 977 , 290 
225 , 976 , 290 
226 , 975 , 290 
227 , 974 , 290 
228 , 973 , 290 
229 , 972 , 290 
230 , 971 , 290 
231 , 970 , 290 
232 , 969 , 290 
233 , 968 , 290 
234 , 967 , 290 
235 , 966 , 290 
236 , 965 , 290 
237 , 964 , 290 
238 , 963 , 290 
239 , 962 , 290 
240 , 961 , 290 
241 , 960 , 290 
242 , 959 , 290 
243 , 958 , 290 
244 , 957 , 290 
245 , 956 , 290 
246 , 955 , 290 
247 , 954 , 290 
248 , 953 , 290 
249 , 952 , 290 
250 , 951 , 290 
251 , 950 , 290 
252 , 949 , 290 
253 , 948 , 290 
254 , 947 , 290 
255 , 946 , 290 
256 , 945 , 290 
257 , 944 , 290 
258 , 943 , 290 
259 , 942 , 290 
260 , 941 , 290 
261 , 940 , 290 
262 , 939 , 290 
263 , 938 , 290 
264 , 937 , 290 
265 , 936 , 290 
266 , 935 , 290 
267 , 934 , 290 
268 , 933 , 290 
269 , 932 , 290 
270 , 931 , 290 
271 , 930 , 290 
272 , 929 , 290 
273 , 928 , 290 
274 , 927 , 290 
275 , 926 , 290 
276 , 925 , 290 
277 , 924 , 290 
278 , 923 , 290 
279 , 922 , 290 
280 , 921 , 290 
281 , 920 , 290 
282 , 919 , 290 
283 , 918 , 290 
284 , 917 , 290 
285 , 916 , 290 
286 , 915 , 290 
287 , 914 , 290 
288 , 913 , 290 
289 , 912 , 290 
290 , 911 , 290 
291 , 910 , 290 
292 , 909 , 290 
293 , 908 , 290 
294 , 907 , 290 
295 , 906 , 290 
296 , 905 , 290 
297 , 904 , 290 
298 , 903 , 290 
299 , 902 , 290 
300 , 901 , 290 
301 , 900 , 290 
302 , 899 , 290 
303 , 898 , 290 
304 , 897 , 290 
305 , 896 , 290 
306 , 895 , 290 
307 , 894 , 290 
308 , 893 , 290 
309 , 892 , 290 
310 , 891 , 290 
311 , 890 , 290 
312 , 889 , 290 
313 , 888 , 290 
314 , 887 , 290 
315 , 886 , 290 
316 , 885 , 290 
317 , 884 , 290 
318 , 883 , 290 
319 , 882 , 290 
320 , 881 , 290 
321 , 880 , 290 
322 , 879 , 290 
323 , 878 , 290 
324 , 877 , 290 
325 , 876 , 290 
326 , 875 , 300 
327 , 874 , 300 
328 , 873 , 300 
329 , 872 , 300 
